action,pred,fit,eps,exp,num,as_size,lower[0],upper[0],mask[0],lower[1],upper[1],mask[1],lower[2],upper[2],mask[2],lower[3],upper[3],mask[3],lower[4],upper[4],mask[4],lower[5],upper[5],mask[5],lower[6],upper[6],mask[6],lower[7],upper[7],mask[7],lower[8],upper[8],mask[8],lower[9],upper[9],mask[9],lower[10],upper[10],mask[10],lower[11],upper[11],mask[11],lower[12],upper[12],mask[12]
7,-13.324972386835071,0.24628857092196565,5.538858341100225,16,1,2.60935651835904,0.714412683266911,1.2184126832669109,0,0.323082866468084,0.563082866468084,0,0.0,1.0,1,-0.1,0.12,0,-50.0,150.0,1,0.0,90.0,1,0.0,71.8,0,56.800000000000004,143.2,0,210.0,132299974.8,0,11.299999999999997,20.9,0,-20.0,26.01,0,0.0,300.0,1,0.19549774230606892,0.4354977423060689,0
7,-18.16901334324158,0.996183403797358,3.1109208176779406,54,1,1.0038783261817723,0.8099767441860466,1.3139767441860466,0,0.3144621056911266,0.5544621056911265,0,0.88,1.1,0,-0.06846603052255773,0.17153396947744226,0,-50.0,150.0,1,0.0,90.0,1,0.0,78.8,0,56.800000000000004,143.2,0,0.0,210.0,1,9.814285714285713,19.414285714285715,0,-20.0,26.01,0,-30.0,36.00010534567193,0,0.1816375770354694,0.4216375770354694,0
2,-12.88949665216988,0.645207718010689,2.925612209212022,30,1,1.8704,0.04364105120789796,0.547641051207898,0,0.12854707480543162,0.3685470748054316,0,0.0,1.0,1,-0.1,0.12,0,-50.0,150.0,1,9.200000000000001,30.799999999999997,0,0.0,43.8,0,-23.199999999999996,63.199999999999996,0,210.0,92799974.8,0,3.9571428571428564,13.557142857142857,0,0.0,200.0,1,0.0,300.0,1,0.20691882563714742,0.4469188256371474,0
2,-11.006705297451052,0.484433939395157,5.513601896687867,18,1,2.13351928315904,0.12146432995909706,0.6254643299590971,0,0.0,1.0,1,0.88,1.1,0,-0.1,0.12,0,-56.622729175136556,-8.622729175136556,0,0.0,90.0,1,0.0,43.8,0,56.800000000000004,143.2,0,210.0,75599974.8,0,-10.0,30.0,1,-20.0,25.29,0,-30.0,36.00064687718947,0,0.19726266779522134,0.4372626677952213,0
4,-9.80901565540994,0.40604224541987055,3.207047576315248,26,1,2.55648,0.8246279069767442,1.3286279069767442,0,0.0,1.0,1,0.88,1.1,0,0.0,1.0,1,-61.86821604447759,-13.868216044477592,0,0.0,10.799999999999999,0,0.0,50.8,0,176.8,263.2,0,210.0,107099974.8,0,12.74285714285714,22.34285714285714,0,0.0,200.0,1,0.0,300.0,1,0.12324352328327864,0.36324352328327864,0
1,-9.497690922923391,0.5490183583152374,3.563803509363514,28,1,2.2005241869613137,0.13767305349223558,0.6416730534922356,0,0.1974427585214928,0.4374427585214928,0,0.0,1.0,1,-0.1,0.12,0,-67.52946735498728,-19.529467354987275,0,69.2,90.0,0,0.0,43.8,0,56.800000000000004,143.2,0,210.0,123299974.8,0,6.971428571428572,16.571428571428573,0,-20.0,24.0,0,-30.0,36.0003017144281,0,0.19370287334930708,0.43370287334930707,0
8,-6.773349276366661,0.4231605751223801,1.6983886109067137,68,1,2.8447441517627974,0.13767305349223558,0.6416730534922356,0,0.0,1.0,1,0.0,1.0,1,-0.1,0.12,0,-67.52946735498728,-19.529467354987275,0,69.2,90.0,0,0.0,43.8,0,56.800000000000004,143.2,0,210.0,123299974.8,0,-10.0,30.0,1,-20.0,24.0,0,0.0,300.0,1,0.0,1.0,1
8,-13.146394802625451,0.8452203225270761,5.811861629390751,108,1,1.4694159421237518,0.08234350591479156,0.5863435059147916,0,0.18404040254641296,0.42404040254641295,0,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,0.0,43.8,0,56.800000000000004,143.2,0,210.0,132499974.8,0,-10.0,30.0,1,-20.0,24.0,0,-30.0,36.00131003651521,0,0.20601085900302363,0.4460108590030236,0
0,-7.1781955462616605,0.8042870337543732,1.4328354551920892,42,1,3.7863955020303957,0.08234350591479156,0.5863435059147916,0,0.0,1.0,1,0.8800000000000002,1.1,0,-0.1,0.12,0,-50.0,150.0,1,69.2,90.0,0,0.0,43.8,0,56.800000000000004,143.2,0,0.0,210.0,1,2.9714285714285724,12.571428571428573,0,0.0,200.0,1,-30.0,36.00131003651521,0,0.0,1.0,1
0,-7.686681995481322,0.23715677246857336,2.203316271088365,60,1,5.491284352954373,0.16319877675799105,0.667198776757991,0,0.24387006323429739,0.4838700632342974,0,0.88,1.1,0,-0.1,0.12,0,-70.0,-26.847041532774504,0,0.0,90.0,1,0.0,50.8,0,56.800000000000004,143.2,0,210.0,133199974.8,0,5.521428571428571,15.12142857142857,0,0.0,200.0,1,-30.0,36.00754244931573,0,0.20107087854751438,0.44107087854751437,0
5,-10.482620671225623,0.9888786686584873,3.3449142540204004,144,1,1.0167179994573479,0.16319877675799105,0.667198776757991,0,0.0,1.0,1,0.88,1.1,0,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,0.0,50.8,0,56.800000000000004,143.2,0,210.0,133199974.8,0,5.521428571428571,15.12142857142857,0,-20.0,24.0,0,0.0,300.0,1,0.0,1.0,1
