action,pred,fit,eps,exp,num,as_size,lower[0],upper[0],mask[0],lower[1],upper[1],mask[1],lower[2],upper[2],mask[2],lower[3],upper[3],mask[3],lower[4],upper[4],mask[4],lower[5],upper[5],mask[5],lower[6],upper[6],mask[6],lower[7],upper[7],mask[7],lower[8],upper[8],mask[8],lower[9],upper[9],mask[9],lower[10],upper[10],mask[10],lower[11],upper[11],mask[11],lower[12],upper[12],mask[12]
0,-5.665009092895396,0.1833753480668582,1.0691991246864383,0,1,5.480144560043222,0.7801117890373015,1.2049819286442147,0,0.0,1.0,1,0.8716009053483126,1.1,0,-0.0854160601108214,0.12054186773383,0,-50.0,150.0,1,0.0,11.035759877768776,0,0.0,80.79798077393923,0,164.88204473943952,235.72849930993215,0,231.0,231.0,0,11.576688975077406,20.325441867039007,0,-17.671883675800657,19.08358899038418,0,0.0,300.0,1,0.0,1.0,1
0,-5.665009092895396,0.1833753480668582,1.0691991246864383,0,1,5.480144560043222,0.8150518452834303,1.2719130758207795,0,0.2864600943638252,0.5712526666478599,0,0.8727857178523403,1.0560056216498344,0,0.0,1.0,1,-50.0,150.0,1,0.3266784044349848,12.14442586928432,0,10.78332583209914,87.28139306274136,0,155.9263423599259,244.97343758332096,0,0.0,210.0,1,10.973997290565077,19.262634517634368,0,-11.922024537924962,23.449523093590606,0,-30.0,38.56870578724636,0,0.0,1.0,1
0,-4.899074525779252,0.2436513763561716,0.1711997261923916,0,1,4.692456767308158,0.851165731125447,1.3357820767879782,0,0.0,1.0,1,0.88,1.1,1,-0.0818301035887423,0.1186351281813204,0,-50.0,150.0,1,0.0,9.818167327086734,0,0.0,90.57358921636072,0,168.48882660154695,245.13804063707343,0,-21.0,231.0,0,8.44324214657471,20.209345435969688,0,-13.689981103350329,18.24463735176934,0,0.0,300.0,1,0.0,1.0,1
0,-4.899074525779252,0.2436513763561716,0.1711997261923916,0,1,4.692456767308158,0.8497243862135376,1.343484920505274,0,0.0,1.0,1,0.8879839304941748,1.0777815957377754,0,-0.0544460841757325,0.1438644690720013,0,-50.0,150.0,1,0.0,10.8,1,0.0,74.46017064264217,0,166.46091365689372,256.46841211677804,0,-21.0,231.0,0,9.112492941175754,19.77946279354925,0,-17.934226557286824,31.230073325754937,0,0.0,300.0,1,0.0,1.0,1
0,-4.557240569021607,0.2740021319038836,0.1393377947718129,0,1,4.385470810531256,0.7741190569401292,1.214735425213985,0,0.323349239130086,0.5540145149893915,0,0.903150395565416,1.084144534753101,0,-0.1,0.1714321926123081,0,-50.0,150.0,1,1.6342438754431816,12.339122531331023,0,9.445041621364362,71.28712999948524,0,146.0,254.0,0,0.0,210.0,1,9.842857142857142,19.442857142857143,1,-16.197571682068357,29.4299711942595,0,-27.30235644605441,35.74449950912467,0,0.0,1.0,1
0,-4.557240569021607,0.2740021319038836,0.1393377947718129,0,1,4.385470810531256,0.8246613249387381,1.2494879033391642,0,0.0,1.0,1,0.8989180021228144,1.0752098246242645,0,0.0,1.0,1,-50.0,150.0,1,1.9212805487590043,11.452600258222391,0,6.5899851674244285,68.73210443696276,0,171.54271376061925,228.03812617228613,0,231.0,231.0,0,11.701154064725385,18.54325444613741,0,-11.902697124528594,23.56414100290953,0,0.0,300.0,1,0.0,1.0,1
0,-4.97867403143799,0.2473572838904643,0.2986058713151852,0,1,4.653551192737763,0.8224175727927918,1.2278829113979413,0,0.3761589886202794,0.6318870711436829,0,0.8637137588899498,1.1,0,0.0,1.0,1,-50.0,150.0,1,1.2068519818411398,11.0385193063772,0,0.0,59.93237975653924,0,163.43706017629825,233.74516365261331,0,231.0,231.0,0,9.42360347524721,19.19372221149955,0,-20.0,24.0,1,0.0,300.0,1,0.0,1.0,1
0,-5.585301298982838,0.5046039720067362,0.3569115305056093,0,1,4.466218552641588,0.8096886591697265,1.3387152222059104,0,0.0,1.0,1,0.8365938244983318,1.1,0,-0.1,0.1862550732216374,0,-50.0,150.0,1,0.0,8.81407144762211,0,6.182158278242982,84.98576568317019,0,147.94269623421562,241.6470408572021,0,231.0,231.0,0,10.778216344350405,17.706884085596922,0,-20.0,31.34441732231767,0,0.0,300.0,1,0.0,1.0,1
0,-5.585301298982838,0.5046039720067362,0.3569115305056093,0,1,4.466218552641588,0.8201719439043197,1.2328856302558948,0,0.0,1.0,1,0.8952711988942385,1.067158795534504,0,-0.0619190869028745,0.1109801149880384,0,-50.0,150.0,1,0.0,11.614911171409394,0,10.222208615136724,89.41667653005044,0,151.40513783446136,226.45066031644365,0,-21.0,231.0,0,8.001613200689123,19.62588584402595,0,-20.0,16.21381908725595,0,0.0,300.0,1,0.0,1.0,1
0,-6.64789376743782,0.2213164042265823,1.7366298411504322,0,1,6.237128284673805,0.826183090818589,1.2401290050924896,0,0.4194271520513708,0.6471626398053647,0,0.8391103222232029,1.1,0,0.0,1.0,1,-50.0,150.0,1,1.978585813915258,11.414193706861308,0,0.0,65.88626523010157,0,149.69171416261952,222.4013531773145,0,-21.0,231.0,0,7.788282284521966,16.30157974298032,0,-14.351709156775051,18.15309101816757,0,-30.0,39.95560602648565,0,0.1516583532405685,0.4516583532405686,0
