action,pred,eps,fit,exp,num,dontcare_count,len_lower,len_upper,len_mask,score,lower[0]_DVS,lower[1]_TAGP,lower[2]_LAI,lower[3]_TRA,lower[4]_RFTRA,lower[5]_WSO,lower[6]_NamountSO,lower[7]_NuptakeTotal,lower[8]_NLOSSCUM,lower[9]_RNO3DEPOSTT,lower[10]_RNH4DEPOSTT,lower[11]_Week,lower[12]_Naction,lower[13]_IRRAD,lower[14]_TMIN,lower[15]_RAIN,lower[16]_NO3_sum,lower[17]_NH4_sum,lower[18]_WC_mean,lower[19]_SM_mean,upper[0]_DVS,upper[1]_TAGP,upper[2]_LAI,upper[3]_TRA,upper[4]_RFTRA,upper[5]_WSO,upper[6]_NamountSO,upper[7]_NuptakeTotal,upper[8]_NLOSSCUM,upper[9]_RNO3DEPOSTT,upper[10]_RNH4DEPOSTT,upper[11]_Week,upper[12]_Naction,upper[13]_IRRAD,upper[14]_TMIN,upper[15]_RAIN,upper[16]_NO3_sum,upper[17]_NH4_sum,upper[18]_WC_mean,upper[19]_SM_mean,mask[0]_DVS,mask[1]_TAGP,mask[2]_LAI,mask[3]_TRA,mask[4]_RFTRA,mask[5]_WSO,mask[6]_NamountSO,mask[7]_NuptakeTotal,mask[8]_NLOSSCUM,mask[9]_RNO3DEPOSTT,mask[10]_RNH4DEPOSTT,mask[11]_Week,mask[12]_Naction,mask[13]_IRRAD,mask[14]_TMIN,mask[15]_RAIN,mask[16]_NO3_sum,mask[17]_NH4_sum,mask[18]_WC_mean,mask[19]_SM_mean
0,12.021428245977727,1.8000883402674581,0.39076502335127117,22,1,10,20,20,20,0.39076502335127117,-1.0,559.4549411789751,-1.0,-0.17656573869166003,0.8,-0.2,-1.0,18.72913220248139,-1.0,-1.0,-1.0,15.2,-1.0,-1.0,-10.0,-0.030000000000000027,-0.18162898115960588,-1.0,5.000257231800084,0.1242400978312948,1.0,684.0004836631917,1.0,0.22343426130834,1.2,0.2,1.0,23.113383803032814,13.423639516511674,1.0,1.0,18.8,4.0,5500000.0,12.5,0.37,0.21837101884039414,1.0,6.458427344766848,0.5242400978312949,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0
3,11.330241107442237,1.958427635235159,0.3099097484227511,16,1,9,20,20,20,0.3099097484227511,-0.16274644299603802,583.4716762342106,0.457426121466107,-0.19233095684652815,-1.0,-0.2,-0.2,-1.0,13.404783923188715,-0.19932761791384296,-1.0,-1.0,-1.0,-1.0,-10.0,-1.0,-0.1815789077954572,-1.0,5.180936715911309,0.13393094969514363,0.237253557003962,713.3542709529241,0.857426121466107,0.20766904315347187,1.0000000000000002,0.2,0.2,22.600130845196986,16.60584701723065,0.20067238208615706,1.0,19.0,4.0,5500000.0,12.5,1.0,0.2184210922045428,1.0,6.639106828878073,0.5339309496951437,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0
0,11.519709294648129,2.2275629530007306,0.32071859089000004,9,1,8,20,20,20,0.32071859089000004,-0.16208791444651305,584.6556635941491,0.45875994942522275,-0.15612522406922452,0.8,-0.2,-1.0,-1.0,-1.0,-0.19932761791384296,-1.0,18.7,-1.0,4049999.9,-11.9,-1.0,-0.18165718641202802,-0.1984951518733506,-1.0,0.12623186676640336,0.23791208555348697,714.8013666150711,0.8587599494252227,0.2438747759307755,1.2,0.2,1.0,22.682675664846094,17.242872033108288,0.20067238208615706,1.0,23.3,4.0,5550000.1,12.5,1.0,0.218342813587972,0.20150484812664943,6.290850564833816,0.5262318667664034,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0
0,9.0,1.0,0.109,1,1,9,20,20,20,0.109,-0.15882266242593163,-1.0,-1.0,-0.1925650801255509,-1.0,-1.0,-0.2,-1.0,15.322062631484442,-1.0,-1.0,19.6,3.5,6749999.9,-11.9,-0.19,-1.0,-0.19851525122688646,4.9830060030570245,0.1222822784539132,0.2411773375740684,683.7280229701919,1.0,0.20743491987444912,1.0000000000000002,1.0,0.2,24.800553380791968,19.163681434732133,1.0,1.0,24.4,4.5,8250000.1,12.5,0.21000000000000002,1.0,0.20148474877311356,6.441176116023788,0.5222822784539132,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
2,9.60127156697205,1.4014156806806999,0.15628999999999998,3,1,11,20,20,20,0.15628999999999998,-1.0,615.2552206731727,-1.0,-0.1776897176430644,0.8000000000000003,-1.0,-0.2,22.22049804271277,-1.0,-1.0,-0.19960736876064805,20.6,-1.0,-1.0,-6.9399999999999995,0.020000000000000018,-1.0,-1.0,-1.0,-1.0,1.0,752.200825267211,1.0,0.22231028235693562,1.2000000000000002,1.0,0.2,27.380608718871166,18.208094016238462,1.0,0.20039263123935197,25.4,4.0,7500000.0,-2.06,0.42000000000000004,1.0,1.0,6.290850564833816,1.0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
0,11.494395200542717,2.001731317286044,0.4316656384641718,14,1,12,20,20,20,0.4316656384641718,-0.1374919501173127,-1.0,-1.0,-1.0,-1.0,-0.2,-0.2,23.293902201245842,-1.0,-1.0,-0.1995894177214948,-1.0,-1.0,-1.0,-0.74,-1.0,-0.18169126706157918,-0.19887640396068965,-1.0,-1.0,0.26250804988268733,752.8415051568664,1.0,1.0,1.0000000000000002,0.2,0.2,29.301489834308725,19.600585941491488,1.0,0.20041058227850522,25.0,4.0,7500000.0,4.14,1.0,0.21830873293842085,0.20112359603931038,6.290850564833816,1.0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1
0,10.737949581902608,1.6751226911592902,0.32341752600423335,11,1,10,20,20,20,0.32341752600423335,-0.10535059084669791,747.4286809443089,0.642132854303668,-0.16352770384404905,-1.0,-0.2,-1.0,-1.0,-1.0,-1.0,-0.19956249116276492,-1.0,-1.0,-1.0,-3.04,-1.0,-0.18214767655836564,-1.0,4.977533578494092,0.1265229163369891,0.2946494091533021,913.7461655985998,1.042132854303668,0.23647229615595097,1.0000000000000002,0.2,1.0,33.721765317262815,20.114607558308137,1.0,0.2004375088372351,26.0,4.0,7500000.0,1.8399999999999999,1.0,0.21785232344163438,1.0,6.435703691460856,0.5265229163369891,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0
4,9.0,1.0,0.109,1,1,5,20,20,20,0.109,-0.08176364500119494,848.1823898265925,0.755637540619563,-0.17421130704684296,0.8000000000000003,-1.0,-0.2,-1.0,18.403362964456477,-1.0,-0.19952525230494703,24.2,3.5,5049999.9,-11.9,-0.19,-1.0,-0.199089680021603,5.168445243134451,0.14135016445016935,0.3182363549988051,1036.8895875658354,1.155637540619563,0.22578869295315707,1.2000000000000002,1.0,0.2,40.299988485509076,22.71522140100236,1.0,0.200474747695053,29.8,4.5,6550000.1,12.5,0.21000000000000002,1.0,0.20091031997839703,6.626615356101215,0.5413501644501694,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
4,9.129920372774166,1.029920372774166,0.1481,2,1,9,20,20,20,0.1481,-1.0,-1.0,-1.0,-0.12465345531174028,0.8,-1.0,-0.2,45.08792951977947,18.772434885308773,-0.1991301697557339,-1.0,-1.0,-1.0,-1.0,-1.14,-0.2,-0.18331425852758504,-1.0,5.252356641028428,0.13686552480748354,1.0,1122.2517112920361,1.137851369281646,0.27534654468825975,1.2,1.0,0.2,55.32969163528602,23.166309304266274,0.20086983024426613,1.0,28.0,4.0,16200000.0,3.74,0.2,0.21668574147241498,1.0,6.710526753995192,0.5368655248074836,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0
4,8.468505966977624,1.8089160164223077,0.350461,4,1,10,20,20,20,0.350461,-0.008220460790875739,1239.0729076070418,-1.0,-1.0,0.8,-0.2,-0.2,-1.0,-1.0,-0.19910966425187665,-0.19948591279361116,-1.0,-1.0,7479999.9,-11.9,-1.0,-0.1842050180217332,-0.19953800401941987,-1.0,-1.0,0.3917795392091243,1514.6446648530512,1.3959975640541855,1.0,1.2,0.2,0.2,63.19051444041035,21.840364468235826,0.20089033574812337,0.20051408720638886,29.0,4.0,10720000.1,12.5,1.0,0.21579498197826683,0.20046199598058015,6.290850564833816,1.0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1
1,9.0,1.0,0.109,1,1,7,20,20,20,0.109,0.038248378351913165,1518.5328761904632,-1.0,-0.09107262935318503,0.8,-0.2,-1.0,69.68933196404492,21.53346852328358,-1.0,-1.0,26.9,3.5,14759999.9,-11.9,-0.2,-0.18541817068651772,-1.0,5.39292976682348,-1.0,0.4382483783519132,1856.206848677233,1.7092281892358119,0.30892737064681497,1.2,0.2,1.0,85.39807240049936,26.540905972902152,1.0,1.0,33.1,4.5,18040000.1,12.5,0.2,0.2145818293134823,1.0,6.851099879790244,1.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
0,9.0,1.0,0.109,1,1,9,20,20,20,0.109,-1.0,-1.0,-1.0,-0.07397565960526595,0.8,-0.2,-0.2,88.36199301917885,23.466447263150695,-0.19899126150379784,-1.0,27.8,-1.0,14559999.9,-0.23999999999999977,-1.0,-1.0,-0.19979686419020468,-1.0,-1.0,1.0,2202.6934721738025,2.18975972776197,0.32602434039473405,1.2,0.2,0.2,108.22021369010749,28.90343554385085,0.20100873849620218,1.0,34.2,4.0,17840000.1,4.640000000000001,1.0,1.0,0.20020313580979535,6.290850564833816,1.0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
