action,pred,fit,eps,exp,num,as_size,lower[DVS],upper[DVS],mask[DVS],lower_raw[DVS],upper_raw[DVS],lower[LAI],upper[LAI],mask[LAI],lower_raw[LAI],upper_raw[LAI],lower[RFTRA],upper[RFTRA],mask[RFTRA],lower_raw[RFTRA],upper_raw[RFTRA],lower[WSO],upper[WSO],mask[WSO],lower_raw[WSO],upper_raw[WSO],lower[Nsurp_sofar],upper[Nsurp_sofar],mask[Nsurp_sofar],lower_raw[Nsurp_sofar],upper_raw[Nsurp_sofar],lower[last_dose_kg_ha],upper[last_dose_kg_ha],mask[last_dose_kg_ha],lower_raw[last_dose_kg_ha],upper_raw[last_dose_kg_ha],lower[last_app_gap_days],upper[last_app_gap_days],mask[last_app_gap_days],lower_raw[last_app_gap_days],upper_raw[last_app_gap_days],lower[cum_N_applied_kg_ha],upper[cum_N_applied_kg_ha],mask[cum_N_applied_kg_ha],lower_raw[cum_N_applied_kg_ha],upper_raw[cum_N_applied_kg_ha],lower[IRRAD_7],upper[IRRAD_7],mask[IRRAD_7],lower_raw[IRRAD_7],upper_raw[IRRAD_7],lower[TMEAN_7],upper[TMEAN_7],mask[TMEAN_7],lower_raw[TMEAN_7],upper_raw[TMEAN_7],lower[RAIN_7],upper[RAIN_7],mask[RAIN_7],lower_raw[RAIN_7],upper_raw[RAIN_7],lower[Ndep_sum],upper[Ndep_sum],mask[Ndep_sum],lower_raw[Ndep_sum],upper_raw[Ndep_sum],lower[SM_mean],upper[SM_mean],mask[SM_mean],lower_raw[SM_mean],upper_raw[SM_mean],score
6,0.0,0.01,0.0,0,1,1.0,-0.16319810862781975,0.17280189137218033,1,-0.16319810862781975,0.17280189137218033,0.0,1.0,0,0.0,1.0,0.9199999999999999,1.08,1,0.9199999999999999,1.08,0.0,1.0,0,0.0,1.0,-50.0,150.0,0,-50.0,150.0,0.0,90.0,0,0.0,90.0,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,5.878571428571426,12.278571428571428,1,5.878571428571426,12.278571428571428,0.0,200.0,0,0.0,200.0,-23.992870882119362,24.007129117880645,1,-23.992870882119362,24.007129117880645,0.26881333669874874,0.42881333669874877,1,0.26881333669874874,0.42881333669874877,0.01
3,0.0,0.01,0.0,0,1,1.0,-0.16319810862781975,0.17280189137218033,1,-0.16319810862781975,0.17280189137218033,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,-28.73191239135489,3.2680876086451196,1,-28.73191239135489,3.2680876086451196,0.0,90.0,0,0.0,90.0,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,5.878571428571426,12.278571428571428,1,5.878571428571426,12.278571428571428,-16.000000000000004,16.000000000000004,1,-16.000000000000004,16.000000000000004,0.0,300.0,0,0.0,300.0,0.26881333669874874,0.42881333669874877,1,0.26881333669874874,0.42881333669874877,0.01
7,0.0,0.01,0.0,0,1,1.0,-0.1607254909677296,0.1752745090322705,1,-0.1607254909677296,0.1752745090322705,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-50.0,150.0,0,-50.0,150.0,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,37299983.2,231.0,1,37299983.2,231.0,2.7714285714285682,9.171428571428569,1,2.7714285714285682,9.171428571428569,-16.000000000000004,16.000000000000004,1,-16.000000000000004,16.000000000000004,-23.993010956563243,24.006989043436764,1,-23.993010956563243,24.006989043436764,0.0,1.0,0,0.0,1.0,0.01
0,0.0,0.01,0.0,0,1,1.0,-0.1607254909677296,0.1752745090322705,1,-0.1607254909677296,0.1752745090322705,-0.014211763986671525,0.14578823601332852,1,-0.014211763986671525,0.14578823601332852,0.9199999999999999,1.08,1,0.9199999999999999,1.08,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-50.0,150.0,0,-50.0,150.0,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,37299983.2,231.0,1,37299983.2,231.0,2.7714285714285682,9.171428571428569,1,2.7714285714285682,9.171428571428569,-16.000000000000004,16.000000000000004,1,-16.000000000000004,16.000000000000004,-23.993010956563243,24.006989043436764,1,-23.993010956563243,24.006989043436764,0.0,1.0,0,0.0,1.0,0.01
6,0.0,0.01,0.0,0,1,1.0,-0.15832131233630542,0.17767868766369466,1,-0.15832131233630542,0.17767868766369466,-0.011829929294379038,0.148170070705621,1,-0.011829929294379038,0.148170070705621,0.9199999999999999,1.08,1,0.9199999999999999,1.08,0.0,1.0,0,0.0,1.0,-50.0,150.0,0,-50.0,150.0,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,31199983.2,231.0,1,31199983.2,231.0,-0.25,6.150000000000001,1,-0.25,6.150000000000001,-16.000000000000004,16.000000000000004,1,-16.000000000000004,16.000000000000004,-23.99315434042856,24.006845659571447,1,-23.99315434042856,24.006845659571447,0.0,1.0,0,0.0,1.0,0.01
0,0.0,0.01,0.0,0,1,1.0,-0.15832131233630542,0.17767868766369466,1,-0.15832131233630542,0.17767868766369466,-0.011829929294379038,0.148170070705621,1,-0.011829929294379038,0.148170070705621,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,-50.0,150.0,0,-50.0,150.0,0.0,90.0,0,0.0,90.0,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,-10.0,30.0,0,-10.0,30.0,0.0,200.0,0,0.0,200.0,0.0,300.0,0,0.0,300.0,0.24858679156767233,0.40858679156767236,1,0.24858679156767233,0.40858679156767236,0.01
6,0.0,0.01,0.0,0,1,1.0,-0.15319283707584555,0.18280716292415453,1,-0.15319283707584555,0.18280716292415453,0.0,1.0,0,0.0,1.0,0.0,1.0,0,0.0,1.0,-0.08000000000000002,0.08000000000000002,1,-0.08000000000000002,0.08000000000000002,-34.8736442826922,-2.8736442826921866,1,-34.8736442826922,-2.8736442826921866,0.0,90.0,0,0.0,90.0,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,23799983.2,231.0,1,23799983.2,231.0,-10.0,30.0,0,-10.0,30.0,-16.000000000000004,16.000000000000004,1,-16.000000000000004,16.000000000000004,-23.993186867101016,24.00681313289899,1,-23.993186867101016,24.00681313289899,0.0,1.0,0,0.0,1.0,0.01
0,0.0,0.01,0.0,0,1,1.0,-0.15319283707584555,0.18280716292415453,1,-0.15319283707584555,0.18280716292415453,0.0,1.0,0,0.0,1.0,0.9199999999999999,1.08,1,0.9199999999999999,1.08,0.0,1.0,0,0.0,1.0,-34.8736442826922,-2.8736442826921866,1,-34.8736442826922,-2.8736442826921866,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,-10.0,30.0,0,-10.0,30.0,-16.000000000000004,16.000000000000004,1,-16.000000000000004,16.000000000000004,0.0,300.0,0,0.0,300.0,0.0,1.0,0,0.0,1.0,0.01
1,0.0,0.01,0.0,0,1,1.0,-0.14966950502379983,0.18633049497620024,1,-0.14966950502379983,0.18633049497620024,0.0,1.0,0,0.0,1.0,0.9199999999999997,1.0799999999999998,1,0.9199999999999997,1.0799999999999998,0.0,1.0,0,0.0,1.0,-36.51457281753997,-4.514572817539964,1,-36.51457281753997,-4.514572817539964,-7.200000000000001,7.200000000000001,1,-7.200000000000001,7.200000000000001,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,22399983.2,231.0,1,22399983.2,231.0,-0.007142857142857562,6.392857142857144,1,-0.007142857142857562,6.392857142857144,0.0,200.0,0,0.0,200.0,-23.993193068601478,24.00680693139853,1,-23.993193068601478,24.00680693139853,0.2486083077823112,0.4086083077823112,1,0.2486083077823112,0.4086083077823112,0.01
0,0.0,0.01,0.0,0,1,1.0,-0.14966950502379983,0.18633049497620024,1,-0.14966950502379983,0.18633049497620024,-0.007086437290554304,0.15291356270944573,1,-0.007086437290554304,0.15291356270944573,0.9199999999999997,1.0799999999999998,1,0.9199999999999997,1.0799999999999998,0.0,1.0,0,0.0,1.0,-50.0,150.0,0,-50.0,150.0,0.0,90.0,0,0.0,90.0,358.28,92.4,1,358.28,92.4,-28.800000000000004,28.800000000000004,1,-28.800000000000004,28.800000000000004,0.0,210.0,0,0.0,210.0,-0.007142857142857562,6.392857142857144,1,-0.007142857142857562,6.392857142857144,0.0,200.0,0,0.0,200.0,0.0,300.0,0,0.0,300.0,0.0,1.0,0,0.0,1.0,0.01
