emitted_at,sim_day,week,Naction,DVS,TAGP,LAI,TRA,RFTRA,WSO,NamountSO,NuptakeTotal,NO3,NH4,WC,SM,NLOSSCUM,RNO3DEPOSTT,RNH4DEPOSTT,IRRAD,TMIN,RAIN
2025-09-01T11:44:27Z,2020-07-01,11,0.0,1.1865238095238098,6732.643320076304,4.534248125064207,0.26728998286321454,1.0,3496.9808456661285,9.958680096070136,57.5109955638204,"[np.float64(1.1121787913567574e-05) np.float64(2.056647113815257e-06)
 np.float64(1.2583305508089065e-06) np.float64(2.8287082936340766e-06)
 np.float64(0.00010114268869245026) np.float64(2.3634544132431944e-05)
 np.float64(2.945827452265078e-05)]","[np.float64(7.437331416521693e-05) np.float64(2.273713458544912e-05)
 np.float64(1.2525206619843118e-05) np.float64(1.5006299903062836e-05)
 np.float64(1.3690172063051403e-05) np.float64(2.952540567582294e-06)
 np.float64(3.6222993214965735e-06)]","[5.79592902 2.42595386 2.69036447 5.12517681 5.19480442 5.23436614
 6.77711638]","[0.28979645 0.24259539 0.26903645 0.25625884 0.25974022 0.26171831
 0.27108466]",0.01948383088312898,0.0004536,0.0001134,12750000.0,14.7,3.2
2025-09-01T11:44:27Z,2020-07-02,12,0.0,1.1940952380952383,6952.967841233913,4.5167431120776165,0.3356112459454863,1.0,3678.9122452654433,10.119232569802962,58.031734340947764,"[np.float64(0.00012981293751881018) np.float64(5.575779504367722e-06)
 np.float64(1.2996030534738152e-06) np.float64(2.8119250852628885e-06)
 np.float64(0.00010178271059998492) np.float64(2.393089932554519e-05)
 np.float64(2.9947849953997385e-05)]","[np.float64(0.00010411206761779793) np.float64(2.324224777796906e-05)
 np.float64(1.2492583478279022e-05) np.float64(1.4833856287059366e-05)
 np.float64(1.3744549380941109e-05) np.float64(2.9507137413483365e-06)
 np.float64(3.6137362017160026e-06)]","[8.67041307 2.53390576 2.66662891 5.08285974 5.15505039 5.21151826
 6.77196173]","[0.43352065 0.25339058 0.26666289 0.25414299 0.25775252 0.26057591
 0.27087847]",0.01971895277489665,0.0005786201468688255,0.00014465503671720639,17120000.0,13.1,0.0
2025-09-01T11:44:27Z,2020-07-03,12,0.0,1.201261904761905,7218.642971667465,4.501836834751526,0.41694001091739646,1.0,3901.912359033355,10.738225258725315,59.9570700697413,"[np.float64(7.774246055561014e-07) np.float64(2.2287752961437765e-06)
 np.float64(1.1708491052060416e-06) np.float64(2.622256378863364e-06)
 np.float64(0.00010224955369999844) np.float64(2.4185771496407872e-05)
 np.float64(3.0382843357373345e-05)]","[np.float64(8.357821271724519e-05) np.float64(2.984156793483239e-05)
 np.float64(1.2300424188489592e-05) np.float64(1.4575716765563691e-05)
 np.float64(1.3867722850423586e-05) np.float64(2.964873397067366e-06)
 np.float64(3.624917380137137e-06)]","[6.74       4.26720683 2.6473952  5.01782897 5.11706034 5.18906092
 6.76629184]","[0.337      0.42672068 0.26473952 0.25089145 0.25585302 0.25945305
 0.27065167]",0.019981457435696463,0.0005786201468688255,0.00014465503671720639,20460000.0,13.2,0.0
2025-09-01T11:44:27Z,2020-07-04,12,0.0,1.2087857142857146,7501.501111893474,4.485312032429886,0.23702914529091215,0.9999999999999999,4142.62733025274,10.912957396188594,60.47826199318848,"[np.float64(1.0037825323180035e-05) np.float64(3.6354720249438297e-07)
 np.float64(1.3163802065939732e-06) np.float64(2.7277215941465337e-06)
 np.float64(0.00010285178952868894) np.float64(2.4474579807087494e-05)
 np.float64(3.0860721999443345e-05)]","[np.float64(7.581030049516161e-05) np.float64(2.417948818683453e-05)
 np.float64(1.394344132672432e-05) np.float64(1.4633568751763061e-05)
 np.float64(1.393925628053935e-05) np.float64(2.96671022766246e-06)
 np.float64(3.6184343193519897e-06)]","[6.73388947 3.32       3.33031692 4.93174655 5.07889295 5.16681886
 6.76012882]","[0.33669447 0.332      0.33303169 0.24658733 0.25394465 0.25834094
 0.27040515]",0.020271389259375664,0.0005786201468688255,0.00014465503671720639,9300000.0,14.8,0.06
2025-09-01T11:44:27Z,2020-07-05,12,0.0,1.216214285714286,7674.72263732318,4.455946942943745,0.3924960749583269,0.9999999999999999,4291.083126732437,11.101590026112785,61.02635272776911,"[np.float64(1.1285415920681594e-05) np.float64(2.805538346644213e-06)
 np.float64(1.6147785771928468e-06) np.float64(2.7031253440640095e-06)
 np.float64(0.00010337296005818185) np.float64(2.4753878077486317e-05)
 np.float64(3.1322773740293505e-05)]","[np.float64(7.157380924932772e-05) np.float64(2.155759046715432e-05)
 np.float64(1.248896645247422e-05) np.float64(1.4631158429763936e-05)
 np.float64(1.4030936845508271e-05) np.float64(2.973328296714849e-06)
 np.float64(3.617270991449683e-06)]","[6.71425737 3.27835668 3.29081206 4.91997556 5.03987925 5.14523323
 6.75348943]","[0.33571287 0.32783567 0.32908121 0.24599878 0.25199396 0.25726166
 0.27013958]",0.020588570763945515,0.0005810201468688255,0.00014525503671720637,13640000.0,17.1,0.06
2025-09-01T11:44:27Z,2020-07-06,12,0.0,1.224809523809524,7900.774466998666,4.432658532393334,0.37916359750932904,0.9999999999999999,4486.159397118678,11.300263181317854,61.58595240829072,"[np.float64(1.3101321853083344e-05) np.float64(3.179314513170686e-06)
 np.float64(1.8375223904632469e-06) np.float64(2.993827948100012e-06)
 np.float64(0.00010444880232156513) np.float64(2.513762301817877e-05)
 np.float64(3.191801646231622e-05)]","[np.float64(7.285640506146596e-05) np.float64(2.109723562941711e-05)
 np.float64(1.2255970998068011e-05) np.float64(1.527656452797798e-05)
 np.float64(1.4038326020004899e-05) np.float64(2.95639380391111e-06)
 np.float64(3.582265868313589e-06)]","[6.62865943 3.21294067 3.22539605 4.85194669 5.00548854 5.12390798
 6.74640223]","[0.33143297 0.32129407 0.3225396  0.24259733 0.25027443 0.2561954
 0.26985609]",0.020933651102778002,0.0005834201468688254,0.00014585503671720636,20820000.0,12.4,0.02
2025-09-01T11:44:27Z,2020-07-07,12,0.0,1.231166666666667,8194.661114782171,4.416604307882713,0.3516948741728917,1.0,4741.795997963045,11.516192046415746,62.172282423344726,"[np.float64(7.0046594217177386e-06) np.float64(1.7651763903617667e-06)
 np.float64(1.0228286159387782e-06) np.float64(2.2873079948180344e-06)
 np.float64(0.00010456451236481656) np.float64(2.5308824863735478e-05)
 np.float64(3.223834574862171e-05)]","[np.float64(6.75323616892535e-05) np.float64(1.9391925887206102e-05)
 np.float64(1.1280889678301655e-05) np.float64(1.4583276617845665e-05)
 np.float64(1.4320537685258881e-05) np.float64(3.006955967203263e-06)
 np.float64(3.638904208851554e-06)]","[6.50684731 3.14974673 3.16220211 4.78734971 4.97237341 5.10275022
 6.73888424]","[0.32534237 0.31497467 0.31622021 0.23936749 0.24861867 0.25513751
 0.26955537]",0.02130384435125769,0.0005842201468688255,0.00014605503671720637,19770000.0,7.2,0.02
2025-09-01T11:44:27Z,2020-07-08,12,0.0,1.236714285714286,8478.74708307751,4.3994558151864425,0.1549232984873256,1.0,4990.352281156913,11.692966625807026,62.63678980509225,"[np.float64(5.066063353182874e-06) np.float64(1.201616863011426e-06)
 np.float64(6.970966056956241e-07) np.float64(1.979719631879286e-06)
 np.float64(0.00010437851809332955) np.float64(2.5416303249027985e-05)
 np.float64(3.247053371490524e-05)]","[np.float64(6.316972937243742e-05) np.float64(1.8048108397577048e-05)
 np.float64(1.0508039293396982e-05) np.float64(1.3814853361187844e-05)
 np.float64(1.4717387225912491e-05) np.float64(3.0842487965544564e-06)
 np.float64(3.7303996793085005e-06)]","[6.39683895 3.09113092 3.1035863  4.73106125 4.93960079 5.08251436
 6.73094955]","[0.31984195 0.30911309 0.31035863 0.23655306 0.24698004 0.25412572
 0.26923798]",0.021698023953300116,0.0005850201468688255,0.00014625503671720637,7700000.0,12.6,0.38
2025-09-01T11:44:27Z,2020-07-09,13,0.0,1.2428333333333337,8632.762254196488,4.368936154542557,0.16949797439753883,1.0,5125.788822205483,11.850884659848159,63.043992282045195,"[np.float64(2.0079007590406275e-05) np.float64(1.364777606567197e-06)
 np.float64(7.922502826286953e-07) np.float64(2.0924348850625274e-06)
 np.float64(0.00010442329786886113) np.float64(2.558226246265474e-05)
 np.float64(3.27714286033528e-05)]","[np.float64(6.543950686081857e-05) np.float64(1.758704896662742e-05)
 np.float64(1.0244599290479274e-05) np.float64(1.3424158672114309e-05)
 np.float64(1.5002443501274859e-05) np.float64(3.1354051183842156e-06)
 np.float64(3.7859285286408344e-06)]","[6.71930556 3.06531037 3.07776575 4.74056265 4.90596141 5.06332809
 6.7226327 ]","[0.33596528 0.30653104 0.30777658 0.23702813 0.24529807 0.2531664
 0.26890531]",0.022115589065869832,0.0006002201468688255,0.00015005503671720638,6990000.0,15.7,0.27999999999999997
2025-09-01T11:44:27Z,2020-07-10,13,0.0,1.2506428571428574,8761.776658564939,4.335999854450818,0.2233042819537807,0.9999999999999999,5239.8719595083585,12.076142353495614,63.615519193461154,"[np.float64(1.9061865178107646e-05) np.float64(2.6722409886381098e-06)
 np.float64(1.2465711803934653e-06) np.float64(2.502166089546988e-06)
 np.float64(0.00010528837452723973) np.float64(2.5918558419474305e-05)
 np.float64(3.328977345275564e-05)]","[np.float64(6.844780762109534e-05) np.float64(1.9116399267231437e-05)
 np.float64(1.0788273961659511e-05) np.float64(1.3852792802874435e-05)
 np.float64(1.5001630914178299e-05) np.float64(3.117238570993791e-06)
 np.float64(3.746654817703762e-06)]","[6.75588212 3.21737794 3.04951609 4.74215364 4.87521763 5.04464327
 6.71397099]","[0.33779411 0.32173779 0.30495161 0.23710768 0.24376088 0.25223216
 0.26855884]",0.02255757375093367,0.0006114201468688255,0.00015285503671720637,11630000.0,10.7,0.38
2025-09-01T11:44:27Z,2020-07-11,13,0.0,1.2564761904761907,8980.456501601831,4.312806902756269,0.3212344252712147,1.0,5434.609483730468,12.319418824686172,64.21819039372818,"[np.float64(1.984098652052178e-05) np.float64(1.5879873109077394e-06)
 np.float64(7.267789431047042e-07) np.float64(1.9253674700140414e-06)
 np.float64(0.00010531260590231931) np.float64(2.6061204906001563e-05)
 np.float64(3.355365670590498e-05)]","[np.float64(6.69038712287262e-05) np.float64(1.8184371502908793e-05)
 np.float64(1.0375750282683083e-05) np.float64(1.335953673386375e-05)
 np.float64(1.5338241377019115e-05) np.float64(3.179282163328981e-06)
 np.float64(3.816493564787708e-06)]","[6.96670562 3.26581715 3.01229871 4.72322688 4.84697101 5.02636707
 6.70498581]","[0.34833528 0.32658171 0.30122987 0.23616134 0.24234855 0.25131835
 0.26819943]",0.02302044422909452,0.0006266201468688255,0.00015665503671720638,20500000.0,7.8,0.08
2025-09-01T11:44:27Z,2020-07-12,13,0.0,1.2619285714285717,9267.540242552846,4.296508842271545,0.437865870515854,1.0,5691.601380368085,12.561509638133794,64.80123956137129,"[np.float64(7.200558600242819e-06) np.float64(1.2729704235081703e-06)
 np.float64(6.251754273139727e-07) np.float64(1.7800172051943559e-06)
 np.float64(0.00010522153983406033) np.float64(2.6180562142771693e-05)
 np.float64(3.3778729112094634e-05)]","[np.float64(6.152983569697163e-05) np.float64(1.748405509388781e-05)
 np.float64(1.0148040721569786e-05) np.float64(1.2881201126244037e-05)
 np.float64(1.5721282817582864e-05) np.float64(3.2522103064670348e-06)
 np.float64(3.90038353866593e-06)]","[6.746032   3.32       3.03211899 4.67033546 4.81910398 5.00933766
 6.69569552]","[0.3373016  0.332      0.3032119  0.23351677 0.2409552  0.25046688
 0.26782782]",0.02350310589194326,0.0006298201468688255,0.00015745503671720637,27420000.0,8.6,0.0
2025-09-01T11:44:27Z,2020-07-13,13,0.0,1.2681666666666669,9567.557467915609,4.2814368170817465,0.4799192807271935,0.9645595869632311,5961.479732462977,12.743023337916497,65.22654555463464,"[np.float64(5.060723635721405e-06) np.float64(1.427413504924413e-06)
 np.float64(7.858280097659678e-07) np.float64(1.950864860071008e-06)
 np.float64(0.00010545360555527766) np.float64(2.6375054062230316e-05)
 np.float64(3.4099843293547405e-05)]","[np.float64(5.997606760341701e-05) np.float64(1.6979742304623915e-05)
 np.float64(1.0117014260380057e-05) np.float64(1.2769066964203899e-05)
 np.float64(1.595126996450396e-05) np.float64(3.2887402611642687e-06)
 np.float64(3.9346462353585724e-06)]","[6.58264069 3.24702235 2.95914135 4.57892606 4.79093263 4.99251751
 6.68614114]","[0.32913203 0.32470224 0.29591413 0.2289463  0.23954663 0.24962588
 0.26744565]",0.024004896705923658,0.0006298201468688255,0.00015745503671720637,28690000.0,9.3,0.0
2025-09-01T11:44:27Z,2020-07-14,13,0.0,1.275309523809524,9845.054628347109,4.263759303871978,0.19531584378801878,1.0,6212.485163978616,12.916534944197302,65.62330886305027,"[np.float64(6.454884254629008e-06) np.float64(1.808101522895108e-06)
 np.float64(1.0170010045787884e-06) np.float64(2.2086741392872264e-06)
 np.float64(0.0001060411723354587) np.float64(2.666761474175908e-05)
 np.float64(3.4540629817566337e-05)]","[np.float64(6.16108368503725e-05) np.float64(1.7348136507320605e-05)
 np.float64(1.0508577668731268e-05) np.float64(1.2971170235361096e-05)
 np.float64(1.6002717690312575e-05) np.float64(3.282854693842349e-06)
 np.float64(3.9110017711229994e-06)]","[6.41802491 3.15986655 2.87621589 4.48751274 4.75967722 4.97677568
 6.67633425]","[0.32090125 0.31598665 0.28762159 0.22437564 0.23798386 0.24883878
 0.26705337]",0.02452707488376727,0.0006298201468688255,0.00015745503671720637,8940000.0,10.3,0.64
2025-09-01T11:44:27Z,2020-07-15,13,0.0,1.2815000000000003,10023.214482946685,4.237244233132895,0.37556302178610584,0.9999999999999999,6374.654747437751,13.104112996858051,66.04523416515443,"[np.float64(3.048573617296288e-05) np.float64(1.3604270531522532e-06)
 np.float64(7.712074292366797e-07) np.float64(2.004014530972152e-06)
 np.float64(0.00010613046566423565) np.float64(2.6862004218881634e-05)
 np.float64(3.485198300493547e-05)]","[np.float64(6.714121246057629e-05) np.float64(1.7082961480371516e-05)
 np.float64(1.0468290461431929e-05) np.float64(1.2709993972390909e-05)
 np.float64(1.6240244274418212e-05) np.float64(3.3212592692402565e-06)
 np.float64(3.947966184475698e-06)]","[6.99257972 3.12657269 2.84366325 4.48108752 4.72662307 4.96117395
 6.66631008]","[0.34962899 0.31265727 0.28436632 0.22405438 0.23633115 0.2480587
 0.2666524 ]",0.02506643312943855,0.0006554201468688255,0.00016385503671720637,21500000.0,11.1,0.0
2025-09-01T11:44:27Z,2020-07-16,14,0.0,1.2881428571428575,10318.649721125586,4.2209799262139,0.17148726111642296,1.0,6645.0370774190815,13.414176624296541,66.72619111856972,"[np.float64(6.286925979995471e-06) np.float64(1.6466091307719552e-06)
 np.float64(8.822687072584738e-07) np.float64(2.0544914888097423e-06)
 np.float64(0.00010646465559055674) np.float64(2.710635603049955e-05)
 np.float64(3.522276778442744e-05)]","[np.float64(6.313923746898697e-05) np.float64(1.757884004271309e-05)
 np.float64(1.0635649954747846e-05) np.float64(1.2670769088286118e-05)
 np.float64(1.639025585358523e-05) np.float64(3.3370210017304323e-06)
 np.float64(3.954161028749825e-06)]","[6.74       3.17560725 2.78106941 4.41227538 4.69536037 4.94629393
 6.65607727]","[0.337      0.31756073 0.27810694 0.22061377 0.23476802 0.2473147
 0.26624309]",0.02562357106259338,0.0006554201468688255,0.00016385503671720637,8010000.0,14.0,0.1
2025-09-01T11:44:27Z,2020-07-17,14,0.0,1.2950714285714289,10474.930728909063,4.193278853910349,0.23126974240228557,0.9999999999999999,6788.8959776695965,13.611164621179881,67.15287803805185,"[np.float64(1.0400812070634875e-05) np.float64(1.8104940457819941e-06)
 np.float64(9.575699964243455e-07) np.float64(2.11201193035706e-06)
 np.float64(0.00010690548766380918) np.float64(2.7383233826300822e-05)
 np.float64(3.56297826983054e-05)]","[np.float64(6.335010667490804e-05) np.float64(1.7779915657457135e-05)
 np.float64(1.0917096840622517e-05) np.float64(1.2701346961942178e-05)
 np.float64(1.649027011472536e-05) np.float64(3.3396478241135647e-06)
 np.float64(3.9427598303673835e-06)]","[6.74       3.18888787 2.7524882  4.4117469  4.6632808  4.93215655
 6.64566026]","[0.337      0.31888879 0.27524882 0.22058735 0.23316404 0.24660783
 0.26582641]",0.026197942020302,0.0006594201468688254,0.00016485503671720636,11780000.0,12.8,0.0
2025-09-01T11:44:27Z,2020-07-18,14,0.0,1.302261904761905,10691.59977469223,4.170806984635916,0.4366837876956149,0.9467429214945231,6989.54389515314,13.833340916989815,67.62576242516894,"[np.float64(6.969400172533525e-06) np.float64(1.9034445367577614e-06)
 np.float64(1.0472009203708652e-06) np.float64(2.1331636435526493e-06)
 np.float64(0.00010750188255920009) np.float64(2.768500660133592e-05)
 np.float64(3.606799510169638e-05)]","[np.float64(6.320332246008985e-05) np.float64(1.7928424483471243e-05)
 np.float64(1.1233748976975542e-05) np.float64(1.2819580346963156e-05)
 np.float64(1.6556537382995357e-05) np.float64(3.3319504520004234e-06)
 np.float64(3.9179878741387375e-06)]","[6.65307886 3.15034292 2.71394324 4.38881355 4.63381445 4.91804305
 6.63508355]","[0.33265394 0.31503429 0.27139432 0.21944068 0.23169072 0.24590215
 0.26540334]",0.026788913126734797,0.0006594201468688254,0.00016485503671720636,25130000.0,12.8,0.0
2025-09-01T11:44:27Z,2020-07-19,14,0.0,1.310761904761905,10955.750441071183,4.152320485241289,0.43759726313424374,0.9309424611541942,7235.383259980609,14.043777867307158,68.06481431992441,"[np.float64(9.254741633462734e-06) np.float64(2.550155984881922e-06)
 np.float64(1.4205784079928538e-06) np.float64(2.4026295797227515e-06)
 np.float64(0.000108679476187069) np.float64(2.8115660433643183e-05)
 np.float64(3.666607737242967e-05)]","[np.float64(6.747438426050511e-05) np.float64(1.9210837361287416e-05)
 np.float64(1.2155592198414006e-05) np.float64(1.3496384093033164e-05)
 np.float64(1.6493190567940107e-05) np.float64(3.287469030397095e-06)
 np.float64(3.84276323256904e-06)]","[6.49680474 3.07346816 2.63706849 4.31199524 4.60552162 4.90470167
 6.62435132]","[0.32484024 0.30734682 0.26370685 0.21559976 0.23027608 0.24523508
 0.26497405]",0.027398903591709753,0.0006594201468688254,0.00016485503671720636,24800000.0,14.3,0.0
2025-09-01T11:44:27Z,2020-07-20,14,0.0,1.3194523809523813,11212.117856939376,4.134154928369086,0.43400859733733466,0.9175181574885112,7474.6326572521175,14.283538032213048,68.55576751207778,"[np.float64(1.0094211841260442e-05) np.float64(2.784289292220796e-06)
 np.float64(1.5380565874596997e-06) np.float64(2.464996847143617e-06)
 np.float64(0.00010988454444674937) np.float64(2.855300120560715e-05)
 np.float64(3.72697874728781e-05)]","[np.float64(7.092420991504639e-05) np.float64(2.0253666956021143e-05)
 np.float64(1.269171534172751e-05) np.float64(1.3975731799695024e-05)
 np.float64(1.6461189498991806e-05) np.float64(3.24968467540399e-06)
 np.float64(3.778178648795653e-06)]","[6.33758951 2.99512511 2.55872543 4.23983242 4.57759956 4.89142461
 6.61348822]","[0.31687948 0.29951251 0.25587254 0.21199162 0.22887998 0.24457123
 0.26453953]",0.02802697094081032,0.0006594201468688254,0.00016485503671720636,25710000.0,13.5,0.02
