year,step,date,dose_kg_ha,action_index,blocked,blocked_reasons,classifier_index
2002,30,2002-04-29,60.0,6,False,,772
2003,28,2003-04-15,20.0,2,False,,482
2003,28,2003-04-15,20.0,2,False,,484
2003,28,2003-04-15,20.0,2,False,,616
2003,28,2003-04-15,20.0,2,False,,747
2003,29,2003-04-22,70.0,7,False,,171
2003,29,2003-04-22,70.0,7,False,,416
2003,29,2003-04-22,70.0,7,False,,437
2003,29,2003-04-22,70.0,7,False,,611
2003,29,2003-04-22,70.0,7,False,,665
2003,29,2003-04-22,70.0,7,False,,666
2003,29,2003-04-22,70.0,7,False,,763
2003,30,2003-04-29,60.0,6,False,,317
2003,30,2003-04-29,60.0,6,False,,404
2003,30,2003-04-29,60.0,6,False,,534
2003,30,2003-04-29,60.0,6,False,,739
2003,30,2003-04-29,60.0,6,False,,772
2003,31,2003-05-06,60.0,6,False,,404
2003,31,2003-05-06,60.0,6,False,,772
2004,28,2004-04-14,20.0,2,False,,482
2004,28,2004-04-14,20.0,2,False,,484
2004,28,2004-04-14,20.0,2,False,,616
2004,28,2004-04-14,20.0,2,False,,747
2004,29,2004-04-21,70.0,7,False,,171
2004,29,2004-04-21,70.0,7,False,,416
2004,29,2004-04-21,70.0,7,False,,437
2004,29,2004-04-21,70.0,7,False,,611
2004,29,2004-04-21,70.0,7,False,,665
2004,29,2004-04-21,70.0,7,False,,666
2004,29,2004-04-21,70.0,7,False,,763
2004,30,2004-04-28,60.0,6,False,,317
2004,30,2004-04-28,60.0,6,False,,404
2004,30,2004-04-28,60.0,6,False,,534
2004,30,2004-04-28,60.0,6,False,,739
2004,30,2004-04-28,60.0,6,False,,772
2004,31,2004-05-05,60.0,6,False,,404
2004,31,2004-05-05,60.0,6,False,,772
2005,28,2005-04-15,20.0,2,False,,482
2005,28,2005-04-15,20.0,2,False,,484
2005,28,2005-04-15,20.0,2,False,,616
2005,28,2005-04-15,20.0,2,False,,747
2005,29,2005-04-22,70.0,7,False,,171
2005,29,2005-04-22,70.0,7,False,,416
2005,29,2005-04-22,70.0,7,False,,437
2005,29,2005-04-22,70.0,7,False,,611
2005,29,2005-04-22,70.0,7,False,,666
2005,30,2005-04-29,60.0,6,False,,317
2005,30,2005-04-29,60.0,6,False,,404
2005,30,2005-04-29,60.0,6,False,,534
2005,30,2005-04-29,60.0,6,False,,739
2005,30,2005-04-29,60.0,6,False,,772
2005,31,2005-05-06,60.0,6,False,,404
2005,31,2005-05-06,60.0,6,False,,772
2006,30,2006-04-29,20.0,2,False,,482
2006,30,2006-04-29,20.0,2,False,,484
2006,30,2006-04-29,20.0,2,False,,616
2006,30,2006-04-29,20.0,2,False,,747
2006,31,2006-05-06,70.0,7,False,,416
2006,32,2006-05-13,60.0,6,False,,317
2006,32,2006-05-13,60.0,6,False,,404
2006,32,2006-05-13,60.0,6,False,,534
2006,32,2006-05-13,60.0,6,False,,739
2006,32,2006-05-13,60.0,6,False,,772
2006,33,2006-05-20,60.0,6,False,,404
2006,33,2006-05-20,60.0,6,False,,772
2007,26,2007-04-01,20.0,2,False,,482
2007,26,2007-04-01,20.0,2,False,,484
2007,26,2007-04-01,20.0,2,False,,616
2007,26,2007-04-01,20.0,2,False,,747
2007,27,2007-04-08,70.0,7,False,,171
2007,27,2007-04-08,70.0,7,False,,416
2007,27,2007-04-08,70.0,7,False,,437
2007,27,2007-04-08,70.0,7,False,,611
2007,27,2007-04-08,70.0,7,False,,665
2007,27,2007-04-08,70.0,7,False,,666
2007,27,2007-04-08,70.0,7,False,,763
2007,28,2007-04-15,60.0,6,False,,317
2007,28,2007-04-15,60.0,6,False,,404
2007,28,2007-04-15,60.0,6,False,,534
2007,28,2007-04-15,60.0,6,False,,739
2007,28,2007-04-15,60.0,6,False,,772
2007,29,2007-04-22,60.0,6,False,,404
2007,29,2007-04-22,60.0,6,False,,772
2009,28,2009-04-15,20.0,2,False,,482
2009,28,2009-04-15,20.0,2,False,,484
2009,28,2009-04-15,20.0,2,False,,616
2009,28,2009-04-15,20.0,2,False,,747
2009,29,2009-04-22,70.0,7,False,,171
2009,29,2009-04-22,70.0,7,False,,416
2009,29,2009-04-22,70.0,7,False,,437
2009,29,2009-04-22,70.0,7,False,,666
2009,30,2009-04-29,60.0,6,False,,317
2009,30,2009-04-29,60.0,6,False,,404
2009,30,2009-04-29,60.0,6,False,,534
2009,30,2009-04-29,60.0,6,False,,739
2009,30,2009-04-29,60.0,6,False,,772
2009,31,2009-05-06,60.0,6,False,,404
2009,31,2009-05-06,60.0,6,False,,772
2010,28,2010-04-15,20.0,2,False,,482
2010,28,2010-04-15,20.0,2,False,,484
2010,28,2010-04-15,20.0,2,False,,616
2010,28,2010-04-15,20.0,2,False,,747
2010,29,2010-04-22,70.0,7,False,,171
2010,29,2010-04-22,70.0,7,False,,416
2010,29,2010-04-22,70.0,7,False,,437
2010,29,2010-04-22,70.0,7,False,,611
2010,29,2010-04-22,70.0,7,False,,665
2010,29,2010-04-22,70.0,7,False,,666
2010,29,2010-04-22,70.0,7,False,,763
2010,30,2010-04-29,60.0,6,False,,317
2010,30,2010-04-29,60.0,6,False,,404
2010,30,2010-04-29,60.0,6,False,,534
2010,30,2010-04-29,60.0,6,False,,739
2010,30,2010-04-29,60.0,6,False,,772
2010,31,2010-05-06,60.0,6,False,,404
2010,31,2010-05-06,60.0,6,False,,772
2011,28,2011-04-15,20.0,2,False,,482
2011,28,2011-04-15,20.0,2,False,,484
2011,28,2011-04-15,20.0,2,False,,616
2011,28,2011-04-15,20.0,2,False,,747
2011,29,2011-04-22,70.0,7,False,,171
2011,29,2011-04-22,70.0,7,False,,416
2011,29,2011-04-22,70.0,7,False,,437
2011,29,2011-04-22,70.0,7,False,,611
2011,29,2011-04-22,70.0,7,False,,666
2011,29,2011-04-22,70.0,7,False,,763
2011,30,2011-04-29,60.0,6,False,,317
2011,30,2011-04-29,60.0,6,False,,404
2011,30,2011-04-29,60.0,6,False,,534
2011,30,2011-04-29,60.0,6,False,,739
2011,30,2011-04-29,60.0,6,False,,772
2011,31,2011-05-06,60.0,6,False,,404
2011,31,2011-05-06,60.0,6,False,,772
2012,27,2012-04-07,20.0,2,False,,482
2012,27,2012-04-07,20.0,2,False,,484
2012,27,2012-04-07,20.0,2,False,,616
2012,27,2012-04-07,20.0,2,False,,747
2012,28,2012-04-14,70.0,7,False,,171
2012,28,2012-04-14,70.0,7,False,,416
2012,28,2012-04-14,70.0,7,False,,437
2012,28,2012-04-14,70.0,7,False,,666
2012,29,2012-04-21,60.0,6,False,,317
2012,29,2012-04-21,60.0,6,False,,404
2012,29,2012-04-21,60.0,6,False,,534
2012,29,2012-04-21,60.0,6,False,,739
2012,29,2012-04-21,60.0,6,False,,772
2012,30,2012-04-28,60.0,6,False,,404
2012,30,2012-04-28,60.0,6,False,,772
2013,31,2013-05-06,20.0,2,False,,482
2013,31,2013-05-06,20.0,2,False,,484
2013,31,2013-05-06,20.0,2,False,,616
2013,31,2013-05-06,20.0,2,False,,747
2013,32,2013-05-13,70.0,7,False,,171
2013,32,2013-05-13,70.0,7,False,,416
2013,32,2013-05-13,70.0,7,False,,437
2013,32,2013-05-13,70.0,7,False,,611
2013,32,2013-05-13,70.0,7,False,,666
2013,33,2013-05-20,60.0,6,False,,317
2013,33,2013-05-20,60.0,6,False,,404
2013,33,2013-05-20,60.0,6,False,,534
2013,33,2013-05-20,60.0,6,False,,739
2013,33,2013-05-20,60.0,6,False,,772
2013,34,2013-05-27,60.0,6,False,,404
2013,34,2013-05-27,60.0,6,False,,772
2014,26,2014-04-01,20.0,2,False,,482
